Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for retirement,44,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,47,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,64,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,67,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,67,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,9,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,21,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,36,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,70,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,12,Female,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,58,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,65,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,39,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,46,Male,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,37,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,25,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,77,Male,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,72,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,9,Male,Low,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,20,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,80,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,69,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,79,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,47,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,64,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,49,Male,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,29,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,19,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,19,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,14,Male,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,39,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,32,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,65,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,9,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
planning a vacation,57,Male,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,32,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,31,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,74,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,23,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,35,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,75,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,55,Female,Medium,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,28,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,34,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,0,Male,Low,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,0,Male,Low,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,36,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,53,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,5,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
purchasing for self,38,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,17,Female,High,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,79,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,4,Male,Medium,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,42,Female,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,58,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,31,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,1,Male,Medium,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,65,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,41,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,57,Female,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,35,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,11,Male,High,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,46,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,0,Male,Low,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,14,Female,High,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,53,Male,High,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,12,Male,High,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,42,Male,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,75,Male,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,68,Male,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,6,Male,High,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,68,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,47,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,3,Male,High,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,76,Male,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,52,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,78,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,15,Female,Medium,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
planning a vacation,20,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,58,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,23,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,79,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,13,Male,High,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,48,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,49,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,69,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,41,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,35,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,64,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,69,Female,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,0,Male,Medium,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,50,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,36,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,34,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,48,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,3,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
starting a business,42,Male,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,77,Female,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,21,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,73,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,0,Male,High,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,10,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
planning a vacation,43,Female,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,58,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,23,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,59,Male,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,2,Male,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,62,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,35,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,67,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,46,Male,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,20,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,50,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,27,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,14,Female,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,41,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,58,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,65,Male,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,36,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,10,Male,Medium,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,43,Female,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,11,Female,Low,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,2,Male,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,51,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,80,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,32,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,54,Male,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,0,Male,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,38,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,19,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,46,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,42,Male,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,56,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,60,Male,Low,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,77,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,30,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,24,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,2,Male,High,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,3,Male,Medium,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,13,Female,Low,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
